name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
Guilty Absolute,GUCCI,https://m.media-amazon.com/images/I/610EnRsS9VL.jpg,men,"cypress, patchouli, vetiver, woody notes",energetic,fall,night,GUCCI,fresh,work,any
Epic,AMOUAGE,"https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_2127_100799_m",women,"geranium, jasmine, rose, tea",romantic,summer,night,AMOUAGE,romantic,casual,any
Bright Crystal,VERSACE,https://m.media-amazon.com/images/I/61hHIg91njL.jpg,women,"amber, lotus, magnolia, mahogany, musk, peony",romantic,fall,night,VERSACE,romantic,date,cold
Sweetheart Rockstar,MB,https://i.ebayimg.com/00/s/MTQ2MFgxNjAw/z/NM4AAOSwdHlfv9-l/$_57.JPG?set_id=8800005007,women,"cardamom, ginger, lavender, pine, rose, rosemary, vanilla",energetic,fall,day,MB,fresh,casual,cold
Hot Water,DAVIDOFF,"https://m.media-amazon.com/images/I/71Hn6XPKr+L._AC_UF1000,1000_QL80_.jpg",men,"benzoin, pimento and patchouli, styrax",energetic,spring,night,DAVIDOFF,fresh,casual,any
Passenger,ST Dupont,https://m.media-amazon.com/images/I/61nvSnojczL.jpg,men,"benzoin, cardamom, ginger, guaiac wood, pink pepper and lavender",energetic,spring,night,ST Dupont,fresh,casual,any
Ma Vie,HUGO BOSS,https://static.beautytocare.com/cdn-cgi/image/f=auto/media/catalog/product//h/u/hugo-boss-boss-ma-vie-pour-femme-eau-de-parfum-50ml_1.jpg,women,"cedar and woody notes, jasmine and rose, pink freesia",romantic,fall,night,HUGO BOSS,romantic,work,any
Xeryus Rouge,Givenchy,https://m.media-amazon.com/images/I/61trX-P1TLL.jpg,men,"cedar wood, red pepper",energetic,spring,night,Givenchy,fresh,work,any
White Musk,TESORI D´ORIENTE,https://tesori-usa.com/cdn/shop/products/WhiteMuskPerfumeMain.png?v=1671116124,men,"aldehyde, jasmine, rose, white flowers",energetic,spring,night,TESORI D´ORIENTE,fresh,casual,any
Stella,STELLA MCCARTNEY,https://i.ebayimg.com/images/g/8HwAAOSw0GlfPEIp/s-l1200.jpg,women,"amber, rose",romantic,fall,night,STELLA MCCARTNEY,romantic,date,cold
